"booti","stat","value"
"1","pif",0.001
"1","pia",0.838421001214201
"1","mua",0.5
"1","siga",2.36339966556051
"1","mub",1
"1","sigb",5.72265394355881
"1","pubpar1",NA
"1","pubpar2",0.666666666666667
"1","loglike",-1.81416269121783
"2","pif",0.193127539936261
"2","pia",0.968024296083473
"2","mua",1.31839103277012
"2","siga",2.6262750029447
"2","mub",7.95165673531913
"2","sigb",6.67595843338724
"2","pubpar1",NA
"2","pubpar2",0.666666666666667
"2","loglike",-1.80759929039718
"3","pif",0.368145848497136
"3","pia",0.839282693081195
"3","mua",1.18822128818866
"3","siga",2.28502191307186
"3","mub",2.92557557776749
"3","sigb",5.20309392938631
"3","pubpar1",NA
"3","pubpar2",0.666008604577589
"3","loglike",-1.81311084711309
"4","pif",0.588047854883413
"4","pia",0.79707644348205
"4","mua",1.67322371133942
"4","siga",2.37666075622989
"4","mub",2.28865697786967
"4","sigb",4.7424640922885
"4","pubpar1",NA
"4","pubpar2",0.496934868545789
"4","loglike",-1.78740863032211
"5","pif",0.001
"5","pia",0.182386142298506
"5","mua",3.09579090294057
"5","siga",4.59639419440824
"5","mub",1.38801009527337
"5","sigb",1.67192241293768
"5","pubpar1",NA
"5","pubpar2",0.666666666666667
"5","loglike",-1.78511074913222
"6","pif",0.384301357259496
"6","pia",0.0814808683908749
"6","mua",0.5
"6","siga",6.45156736510981
"6","mub",1
"6","sigb",2.37581728808485
"6","pubpar1",NA
"6","pubpar2",0.547923292691296
"6","loglike",-1.7831820602388
"7","pif",0.880263557229022
"7","pia",0.232469631210812
"7","mua",1.56171311806829
"7","siga",6.70262479938721
"7","mub",3.02826280983922
"7","sigb",1.88415487057153
"7","pubpar1",NA
"7","pubpar2",0.429479222067236
"7","loglike",-1.7646747700133
"8","pif",0.0713121652720961
"8","pia",0.122279356534902
"8","mua",4
"8","siga",4.84520452990865
"8","mub",1
"8","sigb",2.33886977472197
"8","pubpar1",NA
"8","pubpar2",0.666666666666667
"8","loglike",-1.81393907467065
"9","pif",0.626991363691921
"9","pia",0.814481814608729
"9","mua",1.97041006915467
"9","siga",1.99408012121135
"9","mub",2.14084131419347
"9","sigb",5.45559807447994
"9","pubpar1",NA
"9","pubpar2",0.58090491962429
"9","loglike",-1.81633886148204
"10","pif",0.117942727868116
"10","pia",0.146615325223715
"10","mua",4
"10","siga",5.69090668344317
"10","mub",1.02734807705739
"10","sigb",2.72519328673147
"10","pubpar1",NA
"10","pubpar2",0.638181375281401
"10","loglike",-1.80200669070884
"11","pif",0.464423392967599
"11","pia",0.146136811458633
"11","mua",1.16211731731429
"11","siga",6.3211207343839
"11","mub",1.57209724009512
"11","sigb",1.84097659583874
"11","pubpar1",NA
"11","pubpar2",0.646194136731127
"11","loglike",-1.78772635946071
"12","pif",0.603878801909655
"12","pia",0.215575243607677
"12","mua",1.62410878309665
"12","siga",6.77709036577269
"12","mub",2.05958043662118
"12","sigb",1.8875913249001
"12","pubpar1",NA
"12","pubpar2",0.624465598014732
"12","loglike",-1.79640131946606
"13","pif",0.115101179297685
"13","pia",0.811315444623394
"13","mua",0.823087003703968
"13","siga",2.2474332986428
"13","mub",1.50361936219018
"13","sigb",5.23817486982861
"13","pubpar1",NA
"13","pubpar2",0.666666666666667
"13","loglike",-1.8140744114715
"14","pif",0.442862571442979
"14","pia",0.940935829397943
"14","mua",0.520366163017101
"14","siga",2.72694830537898
"14","mub",7.87808736014123
"14","sigb",3.49069280760097
"14","pubpar1",NA
"14","pubpar2",0.666666666666667
"14","loglike",-1.81275798350593
"15","pif",0.338444456400695
"15","pia",0.160442197258111
"15","mua",0.5
"15","siga",5.87848074216552
"15","mub",1
"15","sigb",2.3353837117489
"15","pubpar1",NA
"15","pubpar2",0.666666666666667
"15","loglike",-1.81316683464792
"16","pif",0.274441505017222
"16","pia",0.856164657706709
"16","mua",2.07133414073411
"16","siga",2.08660993018213
"16","mub",1
"16","sigb",7.08910967755282
"16","pubpar1",NA
"16","pubpar2",0.666666666666667
"16","loglike",-1.79381684542374
"17","pif",0.601988558462927
"17","pia",0.86598815460016
"17","mua",1.69874103376322
"17","siga",2.26544800508795
"17","mub",3.02838471725161
"17","sigb",5.27164260173118
"17","pubpar1",NA
"17","pubpar2",0.626944234273652
"17","loglike",-1.81551719209342
"18","pif",0.323286788944507
"18","pia",0.166598479753234
"18","mua",0.5
"18","siga",5.8057479594294
"18","mub",1
"18","sigb",2.32226286179022
"18","pubpar1",NA
"18","pubpar2",0.666666666666667
"18","loglike",-1.81318538815078
"19","pif",0.325782986224598
"19","pia",0.845984592098685
"19","mua",1.09799675118764
"19","siga",2.30540751499378
"19","mub",1
"19","sigb",5.86610094397756
"19","pubpar1",NA
"19","pubpar2",0.666666666666667
"19","loglike",-1.81320701794891
"20","pif",0.352832684651308
"20","pia",0.153917003448222
"20","mua",0.732370093151059
"20","siga",5.94240161360321
"20","mub",1.06932877283577
"20","sigb",2.38032126723941
"20","pubpar1",NA
"20","pubpar2",0.666666666666667
"20","loglike",-1.81326296368709
"21","pif",0.354675372313603
"21","pia",0.241129464342186
"21","mua",0.5
"21","siga",5.12471349382916
"21","mub",1
"21","sigb",2.15459714402312
"21","pubpar1",NA
"21","pubpar2",0.666666666666667
"21","loglike",-1.81478561586877
"22","pif",0.132401297086092
"22","pia",0.170122960613065
"22","mua",0.521827603896068
"22","siga",6.03080209327214
"22","mub",1.10442057346372
"22","sigb",2.17491894552808
"22","pubpar1",NA
"22","pubpar2",0.666666666666667
"22","loglike",-1.78879098584755
"23","pif",0.326856408024293
"23","pia",0.867996120596704
"23","mua",0.5
"23","siga",2.51971960252515
"23","mub",3.70068673029855
"23","sigb",4.96007082218516
"23","pubpar1",NA
"23","pubpar2",0.666666666666667
"23","loglike",-1.8129259399032
"24","pif",0.43613639624615
"24","pia",0.958346641726603
"24","mua",1.02260424065121
"24","siga",2.68778863245526
"24","mub",9.4124430033091
"24","sigb",3.19937816031579
"24","pubpar1",NA
"24","pubpar2",0.666666666666667
"24","loglike",-1.81230357443286
"25","pif",0.274852942800813
"25","pia",0.842527510562082
"25","mua",0.576399787790268
"25","siga",2.44315264273887
"25","mub",1
"25","sigb",5.79135082239577
"25","pubpar1",NA
"25","pubpar2",0.666666666666667
"25","loglike",-1.81325189252093
"26","pif",0.762851199866665
"26","pia",0.285832996181187
"26","mua",3.43200399678685
"26","siga",5.21608371688579
"26","mub",1.70143465527853
"26","sigb",1.98324440774739
"26","pubpar1",NA
"26","pubpar2",0.390011697993885
"26","loglike",-1.75186400068765
"27","pif",0.466368596786643
"27","pia",0.126753203561849
"27","mua",3.84243284515677
"27","siga",5.10500403802871
"27","mub",1.12573796727681
"27","sigb",2.42974113248781
"27","pubpar1",NA
"27","pubpar2",0.666666666666667
"27","loglike",-1.81309512820006
"28","pif",0.291894580189096
"28","pia",0.140782454014577
"28","mua",2.70801855968734
"28","siga",5.42437270561188
"28","mub",1.10406718511651
"28","sigb",2.34918029946437
"28","pubpar1",NA
"28","pubpar2",0.666666666666667
"28","loglike",-1.81325262924268
"29","pif",0.305559330443037
"29","pia",0.821413080094996
"29","mua",1.01286977263421
"29","siga",2.29585811514749
"29","mub",1.75391912019634
"29","sigb",5.5003274210666
"29","pubpar1",NA
"29","pubpar2",0.666666666666667
"29","loglike",-1.81331289505
"30","pif",0.2246812743328
"30","pia",0.825646945493423
