"signalname","rbar","vol","ndate","tstat","tabs"
"AbnormalAccruals",0.543961533265547,1.67286131058474,246,5.10006611053811,5.10006611053811
"Accruals",0.562436091983136,2.104761253899,360,5.07015915174965,5.07015915174965
"AccrualsBM",1.43824475928987,4.47468312067793,228,4.8533089459927,4.8533089459927
"Activism1",0.243427777512439,2.82032812263423,135,1.0028532362001,1.0028532362001
"Activism2",0.430417955103433,4.881845618517,135,1.02440861650843,1.02440861650843
"AdExp",0.652623464876531,3.36169621564431,264,3.15432314660076,3.15432314660076
"AgeIPO",1.410989648399,3.64677098351473,48,2.68062433427108,2.68062433427108
"AM",0.626581425807511,3.27812464940129,336,3.50365787748881,3.50365787748881
"AnalystRevision",0.914873503328344,1.36101426881465,58,5.11932106926672,5.11932106926672
"AnalystValue",0.263274583461654,2.205838449456,210,1.72959682409192,1.72959682409192
"AnnouncementReturn",1.1998291142456,1.24626719199598,192,13.3400927160437,13.3400927160437
"AOP",0.357771307076556,2.57660191012331,210,2.01218464499814,2.01218464499814
"AssetGrowth",1.5017861726013,4.08431785952849,432,7.64241190576723,7.64241190576723
"Beta",0.663442215295068,8.42806379761362,480,1.72462988247051,1.72462988247051
"BetaFP",0.0250977619993847,9.62106852222108,1007,0.0827801910005503,0.0827801910005503
"BetaLiquidityPS",0.346941869011944,3.52857999982368,384,1.92673664653599,1.92673664653599
"BetaTailRisk",0.458150136447593,3.32829845592859,576,3.30367105604851,3.30367105604851
"betaVIX",1.06646571716824,4.03020060846787,179,3.54035449746822,3.54035449746822
"BidAskSpread",0.70885862022911,6.90262749773175,240,1.59092903788597,1.59092903788597
"BM",1.60000115225765,5.06868333452173,144,3.78796870112689,3.78796870112689
"BMdec",0.976660146629253,3.336677638705,336,5.36535983969043,5.36535983969043
"BookLeverage",0.276444633449015,1.53752647108156,336,3.29575713217684,3.29575713217684
"BPEBM",0.224999822525121,1.71846594874589,468,2.83246251463984,2.83246251463984
"BrandInvest",0.555157551276482,5.86528332216538,432,1.96729337465948,1.96729337465948
"Cash",0.703457256762006,5.04972731134497,456,2.97476188883821,2.97476188883821
"CashProd",0.561817380332111,3.66921061262983,492,3.39629245868923,3.39629245868923
"CBOperProf",0.464142651307613,3.62121634041568,624,3.20176388915183,3.20176388915183
"CF",0.827551970396612,3.40589438929187,276,4.03662718768599,4.03662718768599
"cfp",0.36004666346629,2.86711666612549,300,2.17507407908169,2.17507407908169
"ChangeInRecommendation",1.04002689253778,1.22224547420475,61,6.6458578671871,6.6458578671871
"ChAssetTurnover",0.294221425936849,1.17836893510619,228,3.77016567045245,3.77016567045245
"ChEQ",0.562888311579466,3.03941237287438,528,4.25548990683918,4.25548990683918
"ChForecastAccrual",0.355064344808224,1.14968829811378,192,4.27934761916232,4.27934761916232
"ChInv",0.771338131638457,2.26518878202141,336,6.24180271894996,6.24180271894996
"ChInvIA",0.501150435949734,1.2221687975194,180,5.50139936813175,5.50139936813175
"ChNAnalyst",1.08871468449222,4.74636552452604,253,3.64849000172178,3.64849000172178
"ChNNCOA",0.35285810591509,1.20385055451953,228,4.42583220782815,4.42583220782815
"ChNWC",0.163911737240137,0.875994842121101,228,2.82537389184663,2.82537389184663
"ChTax",1.08884679469407,2.17396947511262,360,9.50308438170306,9.50308438170306
"CitationsRD",0.210099982214795,1.71505342977092,324,2.20506231130737,2.20506231130737
"CompEquIss",0.266556582235751,2.29734073465513,432,2.4116033110441,2.4116033110441
"CompositeDebtIssuance",0.312152720201181,1.25034491341268,432,5.18894617294289,5.18894617294289
"ConsRecomm",0.532678887229673,2.78592505140859,50,1.35201359119321,1.35201359119321
"ConvDebt",0.384720145902197,1.62355542232407,336,4.34357624194332,4.34357624194332
"CoskewACX",0.293788024366959,2.36244524627014,443,2.61742472198469,2.61742472198469
"Coskewness",0.26501756827186,2.30947703152082,360,2.17726989511486,2.17726989511486
"CredRatDG",0.727888409922954,3.10002824927385,155,2.92324356212017,2.92324356212017
"CustomerMomentum",1.16495619925701,6.16342693843042,300,3.27376854769585,3.27376854769585
"DebtIssuance",0.172867788406125,0.778252099413828,180,2.98009444204997,2.98009444204997
"DelBreadth",0.686937059653414,2.7703177897404,222,3.69456952135708,3.69456952135708
"DelCOA",0.535681675940269,1.95412843903618,480,6.00584755215724,6.00584755215724
"DelCOL",0.35019844007977,1.76320822563147,480,4.35142219611904,4.35142219611904
"DelDRC",0.710701368825618,3.63959729522648,72,1.65691437771184,1.65691437771184
"DelEqu",0.465931846398281,3.16820545753779,468,3.18150041512687,3.18150041512687
"DelFINL",0.725868630239994,1.29983999308721,480,12.2345711682114,12.2345711682114
"DelLTI",0.165687622197157,1.42106397376858,480,2.55444793061949,2.55444793061949
"DelNetFin",0.548699624189539,1.33631347671665,480,8.99594793286498,8.99594793286498
"DivInit",0.582522995217378,1.78420805467639,300,5.65494266012995,5.65494266012995
"DivOmit",0.514256155189902,2.91442353228377,300,3.05624003864655,3.05624003864655
"DivSeason",0.331498361219503,0.727800810626125,1019,14.5397166415403,14.5397166415403
"DivYieldST",0.412119837971252,2.18566342711097,503,4.22886895828095,4.22886895828095
"dNoa",1.0479765296405,2.45131613269748,468,9.24858217028984,9.24858217028984
"DolVol",0.751317914206143,5.24080529540667,360,2.72005051345152,2.72005051345152
"DownRecomm",0.630127067975364,0.795910184044113,49,5.54194375729093,5.54194375729093
"EarningsConsistency",0.208466855698368,1.62490862203474,384,2.51404869329321,2.51404869329321
"EarningsForecastDisparity",0.659638189928931,2.55320031103501,288,4.38447044092002,4.38447044092002
"EarningsStreak",1.08998325479767,1.70824243267445,276,10.6004636593744,10.6004636593744
"EarningsSurprise",1.15934582239332,2.29725694774876,96,4.94468971452913,4.94468971452913
"EarnSupBig",0.373766625357246,2.97938047595126,360,2.38026769462474,2.38026769462474
"EBM",0.305246483060807,1.59605161978673,468,4.13739192148879,4.13739192148879
"EntMult",0.850322429625261,3.63807067115301,564,5.55075496125617,5.55075496125617
"EP",0.387381134464993,2.35208951666312,180,2.20963669212792,2.20963669212792
"EquityDuration",0.556398006141297,3.71076430737448,426,3.0947601356195,3.0947601356195
"ExchSwitch",0.448228289286072,2.8539551325357,338,2.88742340087101,2.88742340087101
"ExclExp",0.266267540704968,1.05745381011381,144,3.02160761812917,3.02160761812917
"FEPS",1.46318493764847,7.46489038491732,240,3.03655678984057,3.03655678984057
"fgr5yrLag",0.833019874179856,3.95921017828964,96,2.06149564731576,2.06149564731576
"FirmAge",-0.00545521135884067,2.13461668178857,600,-0.0625989873601017,0.0625989873601017
"FirmAgeMom",2.28614061211358,6.39086704666582,228,5.40145272657825,5.40145272657825
"ForecastDispersion",0.648124032029268,3.67845599389734,299,3.04668920946853,3.04668920946853
"FR",0.306951542217426,2.83382517225362,258,1.73982921428104,1.73982921428104
"Frontier",2.09096206388218,5.68886453862609,288,6.23758971036559,6.23758971036559
"Governance",0.51815874871205,2.58972258082476,111,2.10800230335984,2.10800230335984
"GP",0.298868152675273,3.01499256416804,576,2.37905583896053,2.37905583896053
"GrAdExp",0.435164407676371,2.35726060318043,444,3.88988940693086,3.88988940693086
"grcapx",0.501723241685019,1.71765465588189,288,4.95706498755619,4.95706498755619
"grcapx3y",0.589212089509278,2.09651991686746,288,4.76945659172133,4.76945659172133
"GrLTNOA",0.370314357638167,1.8840354364673,360,3.72934647957967,3.72934647957967
"GrSaleToGrInv",0.308035388550778,1.25200064171803,180,3.30089959377301,3.30089959377301
"GrSaleToGrOverhead",-0.0591071986143292,1.82216971701349,180,-0.435198915316765,0.435198915316765
"Herf",0.209776314723433,1.9718175840756,468,2.30150881670263,2.30150881670263
"HerfAsset",0.181814929745742,2.36747958507617,468,1.66136947319543,1.66136947319543
"HerfBE",0.222550669709919,2.35488365765696,468,2.04447769235363,2.04447769235363
"High52",0.510290588377335,5.69182686583388,468,1.93949562256576,1.93949562256576
"hire",0.51296848384307,2.11467123562997,546,5.66818670173905,5.66818670173905
"IdioRisk",0.99377113985034,6.52097342493272,456,3.25429089596448,3.25429089596448
"IdioVol3F",0.963329545646198,6.59268540946021,456,3.12028992816764,3.12028992816764
"IdioVolAHT",0.893626455614378,5.74855446734298,264,2.52580215984819,2.52580215984819
"Illiquidity",0.571856290229064,3.28952595149178,408,3.51142718578202,3.51142718578202
"IndIPO",0.664248695992971,3.46887646365991,152,2.36082432218572,2.36082432218572
"IndMom",0.274638256361471,2.14644309954022,396,2.54618084110466,2.54618084110466
"IndRetBig",2.2160903030709,4.54319195178304,360,9.2550254526224,9.2550254526224
"IntanBM",0.397076820343933,3.59944240072587,432,2.29287923219962,2.29287923219962
"IntanCFP",0.401286476208403,3.59058177401925,432,2.32290567577367,2.32290567577367
"IntanEP",0.337989138036876,2.85256020544723,432,2.46269028798078,2.46269028798078
"IntanSP",0.527315767201825,4.53415692617935,432,2.41721947068648,2.41721947068648
"IntMom",1.24009240546831,6.66935403149977,1008,5.90337731440756,5.90337731440756
"Investment",0.254545415608928,1.89483539899001,288,2.27976474908112,2.27976474908112
"InvestPPEInv",0.796004319523721,2.10488483651723,432,7.86011605313642,7.86011605313642
"InvGrowth",0.868687325172832,2.809386675827,540,7.1853652024575,7.1853652024575
