"signalname","rbar","vol","ndate","tstat","tabs"
"AM",0.622784028161943,3.27062184803691,336,3.49041262887009,3.49041262887009
"AOP",0.366176016241237,2.58338659974752,210,2.05404588197877,2.05404588197877
"AbnormalAccruals",0.528803654951073,1.68453155798309,246,4.92360098967113,4.92360098967113
"Accruals",0.687134075776928,1.94495751164648,360,6.70320680331072,6.70320680331072
"AccrualsBM",1.43790365101252,4.46839741488329,228,4.85898343010271,4.85898343010271
"Activism1",0.243505634153255,2.82031379861815,135,1.00317907841885,1.00317907841885
"Activism2",0.430355702936401,4.88176730832844,135,1.02427688487396,1.02427688487396
"AdExp",0.652123260554374,3.36656890665587,264,3.14734351809999,3.14734351809999
"AgeIPO",1.40259114635635,3.64560976837214,48,2.66551746576019,2.66551746576019
"AnalystRevision",0.908702978667495,1.34813710408006,58,5.13336194457515,5.13336194457515
"AnalystValue",0.269776089419422,2.19453872851271,210,1.78143447554469,1.78143447554469
"AnnouncementReturn",1.20216486473836,1.24687573746642,192,13.3595389643682,13.3595389643682
"AssetGrowth",1.49593879760387,4.06875100855333,432,7.64178097017934,7.64178097017934
"BM",1.59667039356239,5.07081669288921,144,3.77849287070795,3.77849287070795
"BMdec",0.969812615649058,3.33202545997422,336,5.33518098768587,5.33518098768587
"BPEBM",0.224483922621975,1.71867268085696,468,2.82562806477117,2.82562806477117
"Beta",0.663058714777401,8.42879762350007,480,1.72348290352312,1.72348290352312
"BetaFP",0.0269314028679193,9.62164418461547,1007,0.0888227918211532,0.0888227918211532
"BetaLiquidityPS",0.341365448352744,3.5423209053963,384,1.88841426084649,1.88841426084649
"BetaTailRisk",0.458225388602102,3.3287496901498,576,3.30376578298849,3.30376578298849
"BidAskSpread",0.710259783292518,6.89809989027846,240,1.59512002199305,1.59512002199305
"BookLeverage",0.27112799940809,1.54203371920006,336,3.22292454396925,3.22292454396925
"BrandInvest",0.547359820694217,5.88600304894116,432,1.93283288149446,1.93283288149446
"CBOperProf",0.481324998670792,3.62299233479971,624,3.31866410470271,3.31866410470271
"CF",0.826508223900889,3.41624751146295,276,4.01931822124512,4.01931822124512
"Cash",0.693541116955899,5.03648263060989,456,2.94054137374941,2.94054137374941
"CashProd",0.560002875988581,3.66523841039968,492,3.38899228067861,3.38899228067861
"ChAssetTurnover",0.293168889121422,1.18074523634726,228,3.74911794060887,3.74911794060887
"ChEQ",0.56123856043665,3.03862447104496,528,4.24411782476355,4.24411782476355
"ChForecastAccrual",0.355180694870727,1.14941272051413,192,4.28177623862416,4.28177623862416
"ChInv",0.767607208644499,2.25980641611817,336,6.22640614261047,6.22640614261047
"ChInvIA",0.500205915174761,1.20333985600236,180,5.57695030293787,5.57695030293787
"ChNAnalyst",0.973469715312559,4.76828044895542,253,3.24728880259985,3.24728880259985
"ChNNCOA",0.359191139019773,1.19796850745592,228,4.52738717810642,4.52738717810642
"ChNWC",0.153909336944154,0.876481784121046,228,2.65148696304265,2.65148696304265
"ChTax",1.05394597970235,2.19757426483987,360,9.09967834979136,9.09967834979136
"ChangeInRecommendation",1.0322429716759,1.21555240555139,61,6.63243748123848,6.63243748123848
"CitationsRD",0.211633453810882,1.71899535684953,324,2.21606309372325,2.21606309372325
"CompEquIss",0.26662546122325,2.29764423734409,432,2.41190783807665,2.41190783807665
"CompositeDebtIssuance",0.309230992866465,1.24953676663731,432,5.14370258054345,5.14370258054345
"ConsRecomm",0.521656656676787,2.77260554625522,50,1.33039825980823,1.33039825980823
"ConvDebt",0.381446835571927,1.62192575296815,336,4.31094701939555,4.31094701939555
"CoskewACX",0.320774371047258,2.26768885124686,443,2.9772688960084,2.9772688960084
"Coskewness",0.281826897556751,2.33535573868794,360,2.28971086695079,2.28971086695079
"CredRatDG",0.718234436067884,3.10397411236948,155,2.88080579706807,2.88080579706807
"CustomerMomentum",1.10016060102437,6.14301274866921,300,3.1019536104211,3.1019536104211
"DebtIssuance",0.173043701440928,0.776873560982868,180,2.98842050186821,2.98842050186821
"DelBreadth",0.687109182654286,2.77023574134542,222,3.69560470706691,3.69560470706691
"DelCOA",0.535797507171699,1.95648462951306,480,5.99991181133921,5.99991181133921
"DelCOL",0.350804750136072,1.76231594200532,480,4.36116295267357,4.36116295267357
"DelDRC",0.712389830542038,3.63146048170432,72,1.66457219918813,1.66457219918813
"DelEqu",0.46769229627437,3.17217007851402,468,3.18952990593745,3.18952990593745
"DelFINL",0.718194569825793,1.3022448270303,480,12.0828697770562,12.0828697770562
"DelLTI",0.160966557233033,1.42119805584749,480,2.48142794841931,2.48142794841931
"DelNetFin",0.544461325474197,1.33939033020719,480,8.90595498342145,8.90595498342145
"DivInit",0.583668056742981,1.78338004736649,300,5.66868924280438,5.66868924280438
"DivOmit",0.511105186842659,2.91503012475513,300,3.03688165726189,3.03688165726189
"DivSeason",0.332519598841616,0.727357287253215,1019,14.5934019856448,14.5934019856448
"DivYieldST",0.412519187898916,2.18592933009989,503,4.23245188110965,4.23245188110965
"DolVol",0.749243477131776,5.23911943344802,360,2.71341312965798,2.71341312965798
"DownRecomm",0.627609390911811,0.796674733366251,49,5.51450366427397,5.51450366427397
"EBM",0.300303514007953,1.59065156684861,468,4.08421205696047,4.08421205696047
"EP",0.369881516379636,2.37822198227126,180,2.08663502501735,2.08663502501735
"EarnSupBig",0.363615068963308,3.04200420388651,360,2.26794915276091,2.26794915276091
"EarningsConsistency",0.202957942814819,1.61338233445383,384,2.46509900858469,2.46509900858469
"EarningsForecastDisparity",0.652720083920606,2.5728106420889,288,4.30541873550877,4.30541873550877
"EarningsStreak",1.09630040377983,1.70385609827319,276,10.6893476558184,10.6893476558184
"EarningsSurprise",1.12846559014844,2.2831298337536,96,4.84276425683235,4.84276425683235
"EntMult",0.847463221292362,3.64120803531074,564,5.52732395305167,5.52732395305167
"EquityDuration",0.557040468167086,3.71416846715355,426,3.09549386884841,3.09549386884841
"ExchSwitch",0.44818812415672,2.85363681893108,338,2.88748671629747,2.88748671629747
"ExclExp",0.251323994545061,1.0316678993686,144,2.92331276022691,2.92331276022691
"FEPS",1.47468053526244,7.46091481572681,240,3.06204442490544,3.06204442490544
"FR",0.305434741129283,2.83057380690012,258,1.73322044380215,1.73322044380215
"FirmAge",-0.00540501294642638,2.1346499954462,600,-0.0620219886169878,0.0620219886169878
"FirmAgeMom",2.28301114096639,6.38928221565446,228,5.39539671168188,5.39539671168188
"ForecastDispersion",0.651205391564881,3.67909855566116,299,3.06063936614802,3.06063936614802
"Frontier",2.09179658047742,5.68539198925427,288,6.24389051680819,6.24389051680819
"GP",0.300167452985573,3.01257147971371,576,2.3913188185458,2.3913188185458
"Governance",0.518378272448508,2.58952124319263,111,2.10905935059486,2.10905935059486
"GrAdExp",0.43422107294739,2.35988023152081,444,3.87714835326003,3.87714835326003
"GrLTNOA",0.362678649697377,1.89258051298636,360,3.63595815519098,3.63595815519098
"GrSaleToGrInv",0.313143944828804,1.24609850907761,180,3.37153672335887,3.37153672335887
"GrSaleToGrOverhead",-0.0547043924338249,1.81943651597375,180,-0.403386671892945,0.403386671892945
"Herf",0.207086089735091,1.97833211864075,468,2.26451213506522,2.26451213506522
"HerfAsset",0.182280961719543,2.33148209894788,468,1.69134479990376,1.69134479990376
"HerfBE",0.218988307974647,2.35054657165247,468,2.01546376315685,2.01546376315685
"High52",0.509597639297371,5.6920611711986,468,1.93678215649447,1.93678215649447
"IO_ShortInterest",2.23229199090981,12.0963128570489,276,3.06586149677615,3.06586149677615
"IdioRisk",0.993702293125908,6.52110758925952,456,3.2539984957166,3.2539984957166
"IdioVol3F",0.977179952058436,6.58067183241288,456,3.17093059193581,3.17093059193581
"IdioVolAHT",0.894142013334991,5.74788876571479,264,2.52755206358927,2.52755206358927
"Illiquidity",0.572149367556897,3.28900952035497,408,3.51377843533757,3.51377843533757
"IndIPO",0.664426889262931,3.47306629751269,152,2.35860883108096,2.35860883108096
"IndMom",0.274534581664246,2.14406040125069,396,2.54804817670159,2.54804817670159
"IndRetBig",2.21545051557507,4.52862312345314,360,9.28211884490331,9.28211884490331
