"stat","point","blank0","p05","blank1","p25","p50","p75","blank2","p95"
"pif",0.01,NA,0.01,NA,0.01,0.199762303951903,0.645747309620352,NA,0.888358221193914
"pif",NA,NA,0.01,NA,0.01,0.31210068530179,0.654360631928051,NA,0.849410274839997
"exp_mu",2.65648498726695,NA,1.96804430300418,NA,2.43097414519829,2.80341749684721,3.17978076080971,NA,3.82350394685618
"exp_mu",NA,NA,1.99972289567771,NA,2.45806059239451,2.79960290902576,3.12686173150662,NA,3.55550011368507
"exp_sd",2.28607492852405,NA,1.89324753831964,NA,2.10510462659638,2.2739647995516,2.4299674110235,NA,2.73339808499013
"exp_sd",NA,NA,1.89283835683546,NA,2.12611669610616,2.25984866798195,2.43909408829383,NA,2.66503317360284
"exp_med",2.0135462200568,NA,1.34351667049064,NA,1.79119229479097,2.16720113172732,2.58290862060077,NA,3.27076739682794
"exp_med",NA,NA,1.32955482077594,NA,1.80206429765813,2.14031041747962,2.52615583941943,NA,3.10005646035475
"pubpar1",0.666666666666667,NA,0.333333333333333,NA,0.453470283628643,0.626119475468839,0.666666666666667,NA,0.666666666666667
"pubpar1",NA,NA,0.333333333333333,NA,0.460902502738646,0.600395321241797,0.666666666666667,NA,0.666666666666667
"mua",0.699897456127506,NA,0.295290547630524,NA,0.582881455214485,0.773436519777341,0.948916122104054,NA,1.18502463325868
"mua",NA,NA,0.284843771897334,NA,0.588932803704727,0.760950862363179,0.926698265535546,NA,1.13142032419433
"siga",0.744454645287185,NA,0.549836101173716,NA,0.639206134635283,0.716170885525076,0.786220901381706,NA,0.905436241238502
"siga",NA,NA,0.55310031037104,NA,0.645656733582297,0.725392333849702,0.794265530527618,NA,0.914790224397064
